id,from_id,from_name,to_id,to_name,rel_type,rel_primary,is_kinship,is_patron,is_conflict,note,status
974,P0001,丁恭,,光武帝,与帝,,0,0,0,咨访,草稿
975,P0001,丁恭,P0031,刘昆,同僚,,0,0,0,俱侍中,草稿
977,P0002,丁鸿,,和帝,与帝,,0,0,0,白虎观/司徒,草稿
976,P0002,丁鸿,,桓荣,师,,0,0,0,受尚书,草稿
980,P0003,严助,,张汤,政敌,,0,0,0,汤排陷助,草稿
978,P0003,严助,P0100,朱买臣,同僚,,0,0,0,俱侍中,草稿
979,P0003,严助,,武帝,与帝,,0,0,0,对策亲幸,草稿
981,P0004,乐松,,灵帝,与帝,,0,0,0,鸿都门,草稿
982,P0004,乐松,,贾护,同僚,,0,0,0,,草稿
983,P0005,任安,P0114,杨厚,同门,,0,0,0,同学图谶,草稿
985,P0006,任芝,P0004,乐松,同僚,,0,0,0,中常侍,草稿
984,P0006,任芝,,灵帝,与帝,,0,0,0,,草稿
986,P0007,伍琼,P0056,周毖,同僚,,0,0,0,阴为绍,草稿
987,P0007,伍琼,,董卓,与大将军,,0,0,0,卓信之,草稿
988,P0008,伏完,,伏寿,女,,0,0,0,献帝伏后,草稿
990,P0008,伏完,,献帝,与帝,,0,0,0,国丈,草稿
989,P0008,伏完,,阳安公主,夫妻,,0,0,0,桓帝女,草稿
991,P0009,伏无忌,,伏湛,先祖,,0,0,0,,草稿
992,P0009,伏无忌,,延笃,同僚,,0,0,0,著书东观,草稿
994,P0011,何晏,,曹操,宗族,,0,0,0,何进孙,草稿
993,P0011,何晏,,曹爽,府主,,0,0,0,代卢毓,草稿
995,P0012,何进,,何皇后,兄弟,,0,0,0,灵帝后,草稿
997,P0012,何进,,张让,政敌,,0,0,0,杀进,草稿
996,P0012,何进,,窦武,其他,,0,0,0,并谋诛宦官,草稿
998,P0013,佚名侍中（禁中出入制度）,,莽何羅,其他,,0,0,0,谋逆致侍中出禁,草稿
999,P0014,傅俊,,光武帝,与帝,,0,0,0,迎后,草稿
1000,P0014,傅俊,,阴丽华,同僚,,0,0,0,阴后,草稿
1001,P0015,傅商,,傅太后,外戚,,0,0,0,从弟,草稿
1003,P0015,傅商,,哀帝,与帝,,0,0,0,,草稿
1002,P0015,傅商,,郑业,姻亲,,0,0,0,同批封侯,草稿
1004,P0016,傅喜,,傅太后,从父,,0,0,0,不合太后意,草稿
1005,P0016,傅喜,,哀帝,与帝,,0,0,0,问灾异,草稿
1006,P0016,傅喜,,李寻,同僚,,0,0,0,,草稿
1007,P0017,傅嘉,,刘贺,与帝,,0,0,0,昌邑王,草稿
1008,P0017,傅嘉,,夏侯胜,同僚,,0,0,0,俱谏,草稿
1009,P0018,傅巽,,刘表,府主,,0,0,0,仕表,草稿
1011,P0018,傅巽,,曹丕,与帝,,0,0,0,黄初中侍中,草稿
1010,P0018,傅巽,,曹操,其他,,0,0,0,,草稿
1012,P0020,关兴,,关羽,父,,0,0,0,汉寿亭侯,草稿
1014,P0020,关兴,,刘禅,与帝,,0,0,0,尚公主,草稿
1013,P0020,关兴,,诸葛亮,府主,,0,0,0,深器异之,草稿
1017,P0022,冯石,,冯定,兄弟,,0,0,0,亦尚主、侍中系,草稿
1016,P0022,冯石,,冯鲂,祖,,0,0,0,,草稿
1015,P0022,冯石,,获嘉长公主,母,,0,0,0,明帝女,草稿
1018,P0023,刘儒,,郭泰,举主,,0,0,0,林宗评语,草稿
1019,P0025,刘宽,,桓帝,与帝,,0,0,0,,草稿
1020,P0026,刘岱,,刘繇,兄弟,,0,0,0,扬州刺史,草稿
1021,P0026,刘岱,,董卓,与大将军,,0,0,0,卓所拜,草稿
1023,P0028,刘廙,P0032,刘晔,同僚,,0,0,0,俱侍中,草稿
1022,P0028,刘廙,,曹丕,与帝,,0,0,0,禅代奏议,草稿
1024,P0028,刘廙,,辛毗,同僚,,0,0,0,联名上言,草稿
1025,P0029,刘恭,,刘盆子,兄弟,,0,0,0,赤眉所立,草稿
1026,P0029,刘恭,,更始帝,与帝,,0,0,0,,草稿
1027,P0030,刘放,,孙资,同僚,,0,0,0,并典机密,草稿
1028,P0030,刘放,,曹丕/明帝,与帝,,0,0,0,中书,草稿
1029,P0031,刘昆,,光武帝,与帝,,0,0,0,授经,草稿
1030,P0032,刘晔,,曹丕,与帝,,0,0,0,谋臣,草稿
1031,P0032,刘晔,,曹操,府主,,0,0,0,,草稿
1032,P0033,刘棻,P0035,刘歆,父,,0,0,0,,草稿
1033,P0033,刘棻,P0148,王莽,与帝,,0,0,0,爱之,草稿
1034,P0034,刘植,,光武帝,与帝,,0,0,0,云台,草稿
1035,P0034,刘植,,真定王刘杨,其他,,0,0,0,婚姻结盟,草稿
1036,P0035,刘歆,,刘向,父,,0,0,0,,草稿
1390,P0035,刘歆,P0033,刘棻,子,,0,0,0,对称边←刘棻-父,草稿
1037,P0035,刘歆,,哀帝,与帝,,0,0,0,,草稿
1038,P0035,刘歆,,诸儒,政敌,,0,0,0,排左氏,草稿
1040,P0036,刘淑,,党锢诸贤,同僚,,0,0,0,八俊,草稿
1039,P0036,刘淑,,桓帝,与帝,,0,0,0,对策第一,草稿
1041,P0037,刘珍,,邓太后,与帝,,0,0,0,临朝时修史,草稿
1042,P0039,刘瑰,,王圣女伯荣,夫妻,,0,0,0,乳母女,草稿
