from_id,from_name,to_id,to_name,rel_type,note,source,status
P0001,丁恭,,光武帝,与帝,咨访,证据/考订,草稿
P0001,丁恭,P0031,刘昆,同僚,俱侍中,证据/考订,草稿
P0002,丁鸿,,桓荣,师,受尚书,本传,草稿
P0002,丁鸿,,和帝,与帝,白虎观/司徒,本传,草稿
P0003,严助,P0100,朱买臣,同僚,俱侍中,本传,草稿
P0003,严助,,武帝,与帝,对策亲幸,本传,草稿
P0003,严助,,张汤,政敌,汤排陷助,本传,草稿
P0004,乐松,,灵帝,与帝,鸿都门,证据/考订,草稿
P0004,乐松,,贾护,同僚,,证据/考订,草稿
P0005,任安,P0114,杨厚,同门,同学图谶,本传,草稿
P0006,任芝,,灵帝,与帝,,证据/考订,草稿
P0006,任芝,P0004,乐松,同僚,中常侍,证据/考订,草稿
P0007,伍琼,P0056,周毖,同僚,阴为绍,证据/考订,草稿
P0007,伍琼,,董卓,与大将军,卓信之,证据/考订,草稿
P0008,伏完,,伏寿,女,献帝伏后,本传,草稿
P0008,伏完,,阳安公主,夫妻,桓帝女,本传,草稿
P0008,伏完,,献帝,与帝,国丈,本传,草稿
P0009,伏无忌,,伏湛,先祖,,本传,草稿
P0009,伏无忌,,延笃,同僚,著书东观,本传,草稿
P0011,何晏,,曹爽,府主,代卢毓,证据/考订,草稿
P0011,何晏,,曹操,宗族,何进孙,证据/考订,草稿
P0012,何进,,何皇后,兄弟,灵帝后,本传,草稿
P0012,何进,,窦武,其他,并谋诛宦官,本传,草稿
P0012,何进,,张让,政敌,杀进,本传,草稿
P0013,佚名侍中（禁中出入制度）,,莽何羅,其他,谋逆致侍中出禁,後漢書百官志,草稿
P0014,傅俊,,光武帝,与帝,迎后,证据/考订,草稿
P0014,傅俊,,阴丽华,同僚,阴后,证据/考订,草稿
P0015,傅商,,傅太后,外戚,从弟,证据/考订,草稿
P0015,傅商,,郑业,姻亲,同批封侯,证据/考订,草稿
P0015,傅商,,哀帝,与帝,,证据/考订,草稿
P0016,傅喜,,傅太后,从父,不合太后意,证据/考订,草稿
P0016,傅喜,,哀帝,与帝,问灾异,证据/考订,草稿
P0016,傅喜,,李寻,同僚,,证据/考订,草稿
P0017,傅嘉,,刘贺,与帝,昌邑王,证据/考订,草稿
P0017,傅嘉,,夏侯胜,同僚,俱谏,证据/考订,草稿
P0018,傅巽,,刘表,府主,仕表,本传,草稿
P0018,傅巽,,曹操,其他,,本传,草稿
P0018,傅巽,,曹丕,与帝,黄初中侍中,本传,草稿
P0020,关兴,,关羽,父,汉寿亭侯,本传,草稿
P0020,关兴,,诸葛亮,府主,深器异之,本传,草稿
P0020,关兴,,刘禅,与帝,尚公主,本传,草稿
P0022,冯石,,获嘉长公主,母,明帝女,後漢書卷63,草稿
P0022,冯石,,冯鲂,祖,,東觀漢記,草稿
P0022,冯石,,冯定,兄弟,亦尚主、侍中系,後漢書卷63,草稿
P0023,刘儒,,郭泰,举主,林宗评语,本传,草稿
P0025,刘宽,,桓帝,与帝,,证据/考订,草稿
P0026,刘岱,,刘繇,兄弟,扬州刺史,本传,草稿
P0026,刘岱,,董卓,与大将军,卓所拜,本传,草稿
P0028,刘廙,,曹丕,与帝,禅代奏议,本传/考订,草稿
P0028,刘廙,P0032,刘晔,同僚,俱侍中,本传/考订,草稿
P0028,刘廙,,辛毗,同僚,联名上言,本传/考订,草稿
P0029,刘恭,,刘盆子,兄弟,赤眉所立,证据/考订,草稿
P0029,刘恭,,更始帝,与帝,,证据/考订,草稿
P0030,刘放,,孙资,同僚,并典机密,本传,草稿
P0030,刘放,,曹丕/明帝,与帝,中书,本传,草稿
P0031,刘昆,,光武帝,与帝,授经,本传,草稿
P0032,刘晔,,曹丕,与帝,谋臣,证据/考订,草稿
P0032,刘晔,,曹操,府主,,证据/考订,草稿
P0033,刘棻,P0035,刘歆,父,,证据,草稿
P0033,刘棻,P0148,王莽,与帝,爱之,证据,草稿
P0034,刘植,,光武帝,与帝,云台,本传,草稿
P0034,刘植,,真定王刘杨,其他,婚姻结盟,本传,草稿
P0035,刘歆,,刘向,父,,证据/考订,草稿
P0035,刘歆,,哀帝,与帝,,证据/考订,草稿
P0035,刘歆,,诸儒,政敌,排左氏,证据/考订,草稿
P0036,刘淑,,桓帝,与帝,对策第一,本传,草稿
P0036,刘淑,,党锢诸贤,同僚,八俊,本传,草稿
P0037,刘珍,,邓太后,与帝,临朝时修史,证据/考订,草稿
P0039,刘瑰,,王圣女伯荣,夫妻,乳母女,证据,草稿
P0040,刘能卿,,刘玄(更始),与帝,,证据/考订,草稿
P0041,刘艾,,献帝,与帝,随驾近侍,证据/考订,草稿
P0041,刘艾,,李傕,政敌,乱中护驾,证据/考订,草稿
P0043,包咸,,光武帝/皇太子,与帝,授经,本传,草稿
P0043,包咸,,大鸿胪,其他,永平五年迁,本传,草稿
P0044,华歆,,荀彧,其他,代彧为尚书令,本传,草稿
P0044,华歆,,曹操,府主,相国,本传,草稿
P0044,华歆,,曹丕,与帝,司徒,本传,草稿
P0045,单飏,P0175,蔡邕,同僚,正定六经,本传,草稿
P0045,单飏,,桥玄,同僚,问祥瑞,本传,草稿
P0046,卫伉,P0048,卫青,父,,证据,草稿
P0047,卫臻,,曹操,府主,参军,本传,草稿
P0047,卫臻,,明帝,与帝,司空,本传,草稿
P0048,卫青,,卫子夫,兄弟,武帝皇后,本传/考订,草稿
P0048,卫青,P0243,霍去病,姻亲,亦侍中,本传/考订,草稿
P0048,卫青,,武帝,与帝,由侍中至大将军,本传/考订,草稿
P0049,台崇,,曹操,政敌,被杀,本传,草稿
P0049,台崇,,献帝,与帝,,本传,草稿
P0052,史高,P0218,金安上,同僚,共发霍氏,证据,草稿
P0052,史高,P0246,霍禹,政敌,,证据,草稿
P0052,史高,,宣帝,与帝,外戚,证据,草稿
P0053,向栩,,张钧,同僚,俱坐言宦者死,证据/考订,草稿
P0053,向栩,,宦官,政敌,,证据/考订,草稿
P0055,周广,,杨震,政敌,谗陷,证据/考订,草稿
P0055,周广,,樊丰,同谋,,证据/考订,草稿
P0055,周广,,耿宝,同谋,,证据/考订,草稿
P0056,周毖,,董卓,与大将军,卓信之,本传,草稿
P0056,周毖,,袁绍,同谋,阴为绍,本传,草稿
P0056,周毖,P0007,伍琼,同僚,,本传,草稿
P0057,周泽,,光武/明帝,与帝,太常,本传,草稿
P0059,和洽,,曹操,府主,丞相掾属,本传,草稿
P0059,和洽,P0145,王粲,同僚,俱侍中,本传,草稿
P0060,和逌,P0059,和洽,宗族,,证据,草稿
P0062,孔永,P0148,王莽,与帝,,证据,草稿
P0063,孔霸,,孔光,子,,证据/考订,草稿
P0063,孔霸,,元帝,与帝,,证据/考订,草稿
P0064,孙峻,,孙权,与帝,受遗,证据/考订,草稿
P0064,孙峻,,诸葛恪,政敌,杀恪,证据/考订,草稿
P0066,孙綝,P0064,孙峻,从父,前丞相,本传,草稿
P0066,孙綝,,孙亮,与帝,废亮,本传,草稿
P0066,孙綝,,孙休,与帝,被休所杀,本传,草稿
P0067,孙邕,,管宁,举主,荐宁,证据/考订,草稿
P0067,孙邕,,曹芳,与帝,,证据/考订,草稿
P0068,宋弘,,光武帝,与帝,东汉初重臣,证据/考订,草稿
P0068,宋弘,P0148,王莽,与帝,莽时官,证据/考订,草稿
P0069,宋登,,宋由,父,太尉,本传,草稿
P0069,宋登,,顺帝,与帝,定曲律,本传,草稿
P0070,宗预,,张飞,府主,功曹,本传,草稿
P0070,宗预,,孙权,其他,使吴,本传,草稿
P0070,宗预,,诸葛亮,同僚,,本传,草稿
P0071,宣秉,,更始帝,与帝,侍中,本传,草稿
P0071,宣秉,,光武帝,与帝,御史中丞,本传,草稿
P0072,寇荣,,寇恂,曾祖,云台二十八将,证据/考订,草稿
P0072,寇荣,,桓帝,与帝,,证据/考订,草稿
P0073,尹勋,,窦武,同谋,引为尚书令,证据/考订,草稿
P0073,尹勋,P0038,刘瑜,同僚,俱谋,证据/考订,草稿
P0073,尹勋,,曹节,政敌,矫诏诛,证据/考订,草稿
P0074,尹忠,,杨定,举主,请为长史,证据/考订,草稿
P0076,常洽,,献帝,与帝,帝问傕书事,三國志卷六,草稿
P0076,常洽,,李傕,政敌,乱中形势,三國志卷六,草稿
P0076,常洽,,赵温,同僚,温与傕书,三國志卷六,草稿
P0077,庾峻,P0102,李仁,同僚,吴亡后问仁,三國志卷48注,草稿
P0078,廖立,,刘备,与帝,汉中王时侍中,本传,草稿
P0078,廖立,,诸葛亮,政敌,亮废立,本传,草稿
P0080,张千秋,,张安世,父,,证据,草稿
P0080,张千秋,P0083,张彭祖,兄弟,,证据,草稿
P0081,张布,,孙休,与帝,诛綝定策,本传,草稿
P0081,张布,,丁奉,同僚,定策,本传,草稿
P0082,张延寿,,张安世,父,,证据,草稿
P0083,张彭祖,,宣帝,与帝,微时同席,证据,草稿
P0083,张彭祖,,张汤,先祖,,证据,草稿
P0084,张放,,成帝,与帝,宠臣,证据,草稿
P0084,张放,,张汤,先祖,,证据,草稿
P0087,张纯,P0084,张放,父,亦侍中,类传,草稿
P0087,张纯,,张安世,高祖,,类传,草稿
P0088,张绍,,刘禅,与帝,奉表降,证据/考订,草稿
P0088,张绍,,谯周,同僚,降使,证据/考订,草稿
P0089,张衡,,顺帝,与帝,帷幄讽议,本传/考订,草稿
P0089,张衡,,东观诸儒,同僚,收捡遗文,本传/考订,草稿
P0090,张辟彊,,张良,父,留侯,本传/考订,草稿
P0090,张辟彊,,陈平,同僚,献计,本传/考订,草稿
P0090,张辟彊,,吕太后,与帝,释其疑,本传/考订,草稿
P0091,张霸,,会稽郡,其他,太守,本传,草稿
P0092,张驯,P0175,蔡邕,同僚,正定六经,本传,草稿
P0092,张驯,,顺帝/桓帝,与帝,,本传,草稿
P0095,戴凭,,光武帝,与帝,说经见重,类传,草稿
P0096,承宫,P0001,丁恭,师,受业,类传,草稿
P0096,承宫,P0125,楼望,同门,,类传,草稿
P0097,施延,,顺帝,与帝,太尉,本传,草稿
P0099,曹褒,,班固,同僚,问改定礼制,类传,草稿
P0099,曹褒,,曹充,父,传礼,类传,草稿
P0100,朱买臣,P0003,严助,同僚,俱侍中,证据,草稿
P0100,朱买臣,,武帝,与帝,,证据,草稿
P0101,朱展,,献帝,与帝,死难,证据/考订,草稿
P0102,李仁,,孙皓,与帝,皓朝侍中,三國志卷48注,草稿
P0102,李仁,P0077,庾峻,同僚,亡国后被问,三國志卷48注,草稿
P0105,李延年,,武帝,与帝,乐官,证据/考订,草稿
P0105,李延年,,李夫人,兄弟,,证据/考订,草稿
P0106,李棽,P0148,王莽,与帝,,证据,草稿
P0107,李法,,和帝,与帝,上疏削爵,本传,草稿
P0108,李膺,,党锢诸贤,同僚,八俊,本传,草稿
P0108,李膺,,桓帝,与帝,党锢,本传,草稿
P0108,李膺,,宦官,政敌,死于狱,本传,草稿
P0109,李陵,,李广,祖,,本传/考订,草稿
P0109,李陵,P0166,苏武,同僚,俱侍中,本传/考订,草稿
P0109,李陵,,武帝,与帝,,本传/考订,草稿
P0112,来历,,来歙,曾祖,云台二十八将,证据/考订,草稿
P0112,来历,,和帝,与帝,,证据/考订,草稿
P0114,杨厚,P0121,杨统,父,亦侍中,本传,草稿
P0114,杨厚,,梁不疑,同僚,冀遣致遗,本传,草稿
P0115,杨奇,,灵帝,与帝,,证据,草稿
P0116,杨彪,P0122,杨赐,父,,本传,草稿
P0116,杨彪,,献帝,与帝,从迁,本传,草稿
P0116,杨彪,,曹操,政敌,修杨彪案,本传,草稿
P0117,杨政,,范升,师,梁丘易,本传,草稿
P0117,杨政,,光武帝,与帝,问得失,本传,草稿
P0119,杨琦,,献帝,与帝,随驾,本传,草稿
P0119,杨琦,,李傕,政敌,上封事言傕,本传,草稿
P0120,杨秉,,杨震,父,四知太尉,本传,草稿
P0120,杨秉,P0122,杨赐,子,,本传,草稿
P0120,杨秉,,桓帝,与帝,太尉,本传,草稿
P0121,杨统,P0114,杨厚,子,亦侍中,本传,草稿
P0122,杨赐,P0120,杨秉,父,,本传,草稿
P0122,杨赐,P0116,杨彪,子,,本传,草稿
P0122,杨赐,,灵帝,与帝,司空,本传,草稿
P0123,桑弘羊,,武帝,与帝,近侍理财,证据,草稿
P0123,桑弘羊,P0242,霍光,政敌,燕王旦谋反,证据,草稿
P0125,楼望,P0001,丁恭,师,受业,本传,草稿
P0125,楼望,P0096,承宫,同门,,本传,草稿
P0126,欧阳地余,,元帝,与帝,,证据,草稿
P0129,淳于长,,王政君,外戚,太后姊子,本传/考订,草稿
P0129,淳于长,,成帝,与帝,定陵侯,本传/考订,草稿
P0129,淳于长,P0148,王莽,政敌,莽发其奸,本传/考订,草稿
P0130,爰延,P0120,杨秉,举主,举贤良,本传,草稿
P0130,爰延,,桓帝,与帝,面谏,本传,草稿
P0131,王允,,吕布,同谋,诛卓,本传,草稿
P0131,王允,,董卓,政敌,诛卓,本传,草稿
P0131,王允,,献帝,与帝,录尚书事,本传,草稿
P0132,王况,,王氏,宗族,,证据,草稿
P0133,王凤,,王政君,兄弟,元后,证据,草稿
P0133,王凤,,成帝,与帝,元舅,证据,草稿
P0134,王去疾,,王谭,父,平阿侯,证据,草稿
P0134,王去疾,,哀帝,与帝,旧幸,证据,草稿
P0135,王参,,王氏,宗族,,证据,草稿
P0136,王商,P0133,王凤,政敌,凤谮商,证据,草稿
P0136,王商,,元帝/成帝,与帝,,证据,草稿
P0137,王奇,P0152,王邑,兄弟,,证据/考订,草稿
P0137,王奇,P0148,王莽,宗族,,证据/考订,草稿
P0138,王忽,,王莽(前汉),父,卫尉,证据,草稿
P0138,王忽,P0242,霍光,政敌,光让莽杀忽,证据,草稿
P0140,王方,,鲁恭,举主,荐方,证据,草稿
P0141,王望,P0148,王莽,与帝,莽末乱中,证据/考订,草稿
P0142,王林卿,,邛成太后,外戚,外家,证据/考订,草稿
P0142,王林卿,,何并,政敌,收捕,证据/考订,草稿
