from_id,from_name,to_id,to_name,rel_type,note,status
P0001,金日磾,P0003,金赏,父,日磾子，后为侍中太仆,已录源
P0001,金日磾,P0004,金建,父,日磾子，俱侍中,已录源
P0001,金日磾,P0002,金安上,从父,伦支,已录源
P0002,金安上,P0005,金敞,父,安上子，中郎将侍中,已录源
P0001,金日磾,,霍光,同僚,共诛莽何罗；妻以女,草稿
P0001,金日磾,,莽何罗,政敌,侍中仆射谋反，日磾讨之,已录源
P0002,金安上,,霍禹,政敌,霍氏反拒亲属,草稿
P0002,金安上,,史高,同僚,共发霍氏,已录源
P0002,金安上,,宣帝,与帝,少为侍中见爱,草稿
P0002,金安上,,萧望之,同僚,使谕意/诘问,已录源
P0005,金敞,,萧望之,同僚,与刘向拾遗左右,已录源
P0010,窦宪,,章德窦皇后,外戚,皇后弟,草稿
P0010,窦宪,,和帝,与帝,外戚之重,草稿
P0010,窦宪,,张林,举主,荐为尚书,已录源
P0010,窦宪,,陈宠,政敌,宠斥林,已录源
P0010,窦宪,,崔骃,府主,文章往来,已录源
P0010,窦宪,,郭举,姻亲,女弟婿为侍中,已录源
P0011,梁不疑,,梁冀,兄弟,冀弟侍中,已录源
P0013,刘瑜,,窦武,举主,武引为侍中,已录源
P0013,刘瑜,P0014,尹勋,同僚,共谋诛宦官,已录源
P0014,尹勋,,窦武,同僚,武引为尚书令,已录源
P0017,董扶,,何进,举主,进荐拜侍中,已录源
P0012,鲁丕,,邓骘,举主,大将军举丕再为侍中,已录源
P0019,耿良,,安帝妹,姻亲,侍中尚濮阳长公主,已录源
